rating_numerator,timestamp
11,2016-01-07 20:39:06
11,2016-01-07 18:41:01
5,2016-01-07 04:48:36
12,2016-01-07 03:30:07
11,2016-01-07 02:38:10
12,2016-01-07 01:49:14
11,2016-01-07 00:59:40
5,2016-01-06 23:33:58
11,2016-01-06 18:14:31
10,2016-01-06 04:38:35
4,2016-01-06 02:49:55
12,2016-01-06 00:54:18
10,2016-01-05 21:06:19
10,2016-01-05 19:42:51
12,2016-01-05 05:14:53
143,2016-01-05 04:11:44
121,2016-01-05 04:00:18
6,2016-01-05 02:30:55
9,2016-01-05 02:09:54
10,2016-01-05 01:44:52
10,2016-01-05 01:00:50
11,2016-01-04 21:23:02
10,2016-01-04 19:43:10
10,2016-01-04 03:50:08
10,2016-01-04 03:28:54
5,2016-01-04 03:18:23
9,2016-01-04 02:18:42
12,2016-01-04 01:53:37
9,2016-01-03 22:14:26
11,2016-01-03 20:12:10
11,2016-01-03 04:01:13
11,2016-01-03 02:53:17
8,2016-01-03 01:39:57
10,2016-01-03 00:47:59
11,2016-01-02 20:58:09
10,2016-01-02 18:43:31
9,2016-01-02 04:27:31
10,2016-01-02 02:23:45
12,2016-01-02 01:33:43
9,2016-01-02 00:14:32
10,2016-01-01 21:00:32
7,2016-01-01 16:30:13
12,2016-01-01 05:00:24
9,2016-01-01 02:29:49
12,2015-12-31 22:57:47
11,2015-12-31 20:39:41
12,2015-12-31 19:05:54
8,2015-12-31 05:14:01
7,2015-12-31 03:43:31
11,2015-12-31 02:52:40
9,2015-12-31 02:33:29
9,2015-12-30 20:54:22
9,2015-12-30 17:58:40
11,2015-12-30 16:51:48
11,2015-12-30 04:44:28
10,2015-12-30 03:55:29
11,2015-12-30 02:54:35
5,2015-12-30 01:00:03
12,2015-12-29 23:32:35
10,2015-12-29 17:36:07
11,2015-12-29 04:31:49
7,2015-12-29 03:33:58
12,2015-12-29 01:52:46
12,2015-12-28 23:00:52
8,2015-12-28 20:57:50
12,2015-12-28 17:12:42
9,2015-12-28 05:02:37
11,2015-12-28 03:46:05
3,2015-12-28 02:35:15
12,2015-12-28 02:15:26
11,2015-12-28 01:12:59
9,2015-12-27 23:53:05
10,2015-12-27 22:37:04
11,2015-12-27 21:52:07
11,2015-12-27 19:22:30
9,2015-12-27 04:37:44
9,2015-12-27 03:51:18
4,2015-12-27 02:36:20
10,2015-12-27 02:15:25
11,2015-12-27 00:49:49
9,2015-12-26 23:15:17
12,2015-12-26 19:43:36
10,2015-12-26 17:25:59
6,2015-12-26 17:12:55
9,2015-12-26 04:41:15
8,2015-12-26 03:00:19
12,2015-12-25 21:18:05
26,2015-12-25 21:06:00
10,2015-12-25 19:39:43
11,2015-12-25 17:30:01
10,2015-12-25 03:00:14
12,2015-12-25 02:01:30
11,2015-12-25 01:00:07
10,2015-12-25 00:00:11
12,2015-12-24 23:00:17
10,2015-12-24 22:00:10
10,2015-12-24 21:00:12
9,2015-12-24 20:00:22
11,2015-12-24 19:00:23
12,2015-12-24 18:00:19
9,2015-12-24 17:00:27
10,2015-12-24 16:00:30
5,2015-12-24 04:11:37
11,2015-12-24 03:12:15
7,2015-12-24 02:42:51
10,2015-12-24 02:02:12
13,2015-12-24 00:58:27
10,2015-12-23 21:37:40
9,2015-12-23 18:51:56
8,2015-12-23 18:25:38
8,2015-12-23 17:55:32
7,2015-12-23 05:13:38
11,2015-12-23 05:03:47
7,2015-12-23 03:58:25
8,2015-12-23 03:26:43
9,2015-12-23 01:37:45
11,2015-12-23 00:45:35
11,2015-12-22 04:35:49
8,2015-12-22 03:57:37
10,2015-12-22 02:52:45
12,2015-12-22 01:28:25
11,2015-12-21 22:15:18
9,2015-12-21 21:15:11
12,2015-12-21 17:33:48
11,2015-12-21 16:04:13
12,2015-12-21 04:52:53
7,2015-12-21 04:44:55
11,2015-12-21 03:12:08
8,2015-12-21 02:41:11
10,2015-12-21 02:30:45
10,2015-12-21 01:53:54
6,2015-12-21 00:53:29
2,2015-12-20 20:38:24
10,2015-12-20 18:29:43
10,2015-12-20 05:25:42
2,2015-12-20 03:58:55
10,2015-12-20 03:02:53
12,2015-12-20 02:20:55
12,2015-12-20 02:09:34
11,2015-12-20 01:38:42
10,2015-12-20 01:03:46
12,2015-12-19 22:28:09
10,2015-12-19 22:02:01
10,2015-12-19 18:19:51
9,2015-12-19 16:47:58
12,2015-12-19 01:16:45
10,2015-12-18 18:29:07
9,2015-12-18 16:56:01
144,2015-12-18 05:06:23
10,2015-12-18 04:00:46
9,2015-12-18 03:54:25
11,2015-12-18 03:11:30
9,2015-12-18 02:17:22
12,2015-12-18 01:31:14
11,2015-12-18 00:18:36
10,2015-12-17 19:39:03
6,2015-12-17 19:07:09
10,2015-12-17 18:34:46
12,2015-12-17 17:56:29
9,2015-12-17 16:45:31
9,2015-12-17 03:48:51
9,2015-12-17 03:36:28
10,2015-12-17 03:26:04
10,2015-12-17 02:30:09
5,2015-12-17 01:35:24
10,2015-12-16 23:29:14
11,2015-12-16 20:48:40
9,2015-12-16 18:03:28
11,2015-12-16 04:01:59
10,2015-12-16 02:51:45
8,2015-12-16 02:19:04
6,2015-12-16 02:13:31
12,2015-12-16 02:08:04
9,2015-12-16 01:50:26
8,2015-12-16 01:27:03
5,2015-12-15 22:52:02
